series_title,series_type,series_episodes,my_watched_episodes,my_status
.hack//G.U. Returner,OVA,1,1,On-Hold
.hack//G.U. Trilogy,Movie,1,1,On-Hold
.hack//Intermezzo,Special,1,1,On-Hold
.hack//Liminality,OVA,4,4,On-Hold
.hack//Quantum,OVA,3,3,On-Hold
.hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!,Special,3,3,On-Hold
.hack//Roots,TV,26,26,On-Hold
.hack//Sign,TV,26,26,On-Hold
.hack//Tasogare no Udewa Densetsu,TV,12,12,On-Hold
.hack//The Movie: Sekai no Mukou ni,Movie,1,1,On-Hold
.hack//Unison,Special,1,1,On-Hold
07-Ghost,TV,25,25,On-Hold
1001 Nights,Movie,1,1,On-Hold
11-nin Iru!,Movie,1,1,On-Hold
11eyes,TV,12,12,On-Hold
15 Bishoujo Hyouryuuki,OVA,3,3,On-Hold
18if,TV,13,13,On-Hold
21-ji no Onna: Newscaster Katsuragi Miki,OVA,3,3,On-Hold
22/7,TV,12,12,Watching
3-gatsu no Lion,TV,22,22,On-Hold
3-gatsu no Lion 2nd Season,TV,22,22,On-Hold
3-gatsu no Lion Recap,Special,1,1,On-Hold
3D Kanojo: Real Girl,TV,12,12,Watching
3D Kanojo: Real Girl 2nd Season,TV,12,12,Watching
3Ping Lovers!?Ippu Nisai no Sekai e Youkoso? The Animation,OVA,1,1,On-Hold
3x3 Eyes,OVA,4,4,On-Hold
3x3 Eyes: Seima Densetsu,OVA,3,3,On-Hold
5-toubun no Hanayome,TV,12,12,On-Hold
7 Seeds,ONA,12,12,Watching
7 Seeds 2nd Season,ONA,12,12,Watching
8-shaku 8-wa Kerakumeguri: Igyou Kaikitan The Animation,OVA,3,1,On-Hold
91 Days,TV,12,12,On-Hold
91 Days Special,Special,1,1,On-Hold
A-Size Classmate,OVA,2,2,On-Hold
A.D. Police (TV),TV,12,12,On-Hold
A.I.C.O.: Incarnation,ONA,12,12,On-Hold
A3! Season Spring & Summer,TV,12,3,Watching
Aa Harimanada,TV,23,23,On-Hold
Aa! Megami-sama!,OVA,5,5,On-Hold
Aa! Megami-sama! (2011),OVA,3,1,On-Hold
Aa! Megami-sama! (TV),TV,24,24,On-Hold
Aa! Megami-sama! (TV) Specials,Special,3,2,On-Hold
Aa! Megami-sama! Movie,Movie,1,1,On-Hold
Aa! Megami-sama!: Sorezore no Tsubasa,TV,22,22,On-Hold
Aa! Megami-sama!: Sorezore no Tsubasa Specials,Special,2,2,On-Hold
Abenobashi Mahou?Shoutengai,TV,13,13,On-Hold
Absolute Duo,TV,12,12,On-Hold
ACCA: 13-ku Kansatsu-ka,TV,12,12,On-Hold
Accel World,TV,24,24,On-Hold
Accelerando: Datenshi-tachi no Sasayaki,OVA,4,4,On-Hold
Ace wo Nerae!,TV,26,26,On-Hold
Action Heroine Cheer Fruits,TV,12,12,On-Hold
Actors: Songs Connection,TV,12,12,Watching
AD Police,OVA,3,3,On-Hold
Africa no Salaryman (TV),TV,12,12,Watching
Afro Samurai,TV,5,5,On-Hold
Afro Samurai: Resurrection,Movie,1,1,On-Hold
After War Gundam X,TV,39,39,On-Hold
After... The Animation,OVA,2,2,On-Hold
Aguu: Tensai Ningyou,TV,12,12,On-Hold
Ahiru no Sora,TV,50,28,Watching
Aho Girl,TV,12,12,On-Hold
Ai City,Movie,1,1,On-Hold
Ai Doll,OVA,4,4,On-Hold
Ai no Katachi: Ecchi na Onnanoko wa Kirai... Desu ka?,OVA,2,2,On-Hold
Ai Shimai 2: Futari no Kajitsu,OVA,2,2,On-Hold
Ai Shimai Tsubomi... Kegashite Kudasai,OVA,2,2,On-Hold
Ai Tenchi Muyou!,TV,50,50,On-Hold
Ai Tenshi Densetsu Wedding Peach,TV,51,51,On-Hold
Ai Tenshi Densetsu Wedding Peach DX,OVA,4,4,On-Hold
Ai wa Kagi no Kazu dake... Fuuzoku Mansion,OVA,1,1,On-Hold
AIKa,OVA,7,7,On-Hold
AIKa R-16: Virgin Mission,OVA,3,3,On-Hold
AIKa Zero,OVA,3,3,On-Hold
AIKa: Special Trial,Special,1,1,On-Hold
Aikagi The Animation,OVA,1,1,On-Hold
Aikatsu Friends!,TV,50,50,On-Hold
Aikatsu Friends!: Kagayaki no Jewel,TV,26,26,On-Hold
Aikatsu on Parade!,TV,25,25,Watching
Aikatsu on Parade! (ONA),ONA,0,2,Watching
Aikatsu Stars!,TV,100,100,On-Hold
Aikatsu!,TV,178,178,On-Hold
Ail Maniax: Inma Seifukugari & Majogari no Yoru ni,OVA,3,3,On-Hold
Air,TV,12,12,On-Hold
Air Gear,TV,25,25,On-Hold
Air Gear Special,Special,1,1,On-Hold
Air in Summer,Special,2,2,On-Hold
Aisai Nikki,OVA,1,1,On-Hold
Aishite Knight,TV,42,42,On-Hold
Ajin,TV,13,13,On-Hold
Ajin 2nd Season,TV,13,13,On-Hold
Akage no Anne,TV,50,50,On-Hold
Akai Kiba: Blue Sonnet,OVA,5,5,On-Hold
Akai Koudan Zillion,TV,31,31,On-Hold
Akai Koudan Zillion: Utahime Yakyoku,Special,1,1,On-Hold
Akame ga Kill!,TV,24,24,On-Hold
Akaneiro ni Somaru Saka,TV,12,12,On-Hold
Akaneiro ni Somaru Saka: Hardcore,Special,1,1,On-Hold
Akanesasu Shoujo,TV,12,12,On-Hold
Akatsuki no Yona,TV,24,24,On-Hold
Akebi no Hana: Maho,OVA,1,1,On-Hold
Akiba's Trip The Animation,TV,13,13,On-Hold
Akibakei Kanojo,OVA,3,3,On-Hold
Akikan!,TV,12,12,On-Hold
Akiko,OVA,2,2,On-Hold
Akina to Onsen de H Shiyo!,OVA,1,1,On-Hold
Akira,Movie,1,1,On-Hold
Akkun to Kanojo,TV,25,25,On-Hold
Aku no Hana,TV,13,13,On-Hold
Aku no Onna Kanbu,OVA,2,2,On-Hold
Aku no Onna Kanbu: Full Moon Night,OVA,1,1,On-Hold
Akuma no Riddle,TV,12,12,On-Hold
Akuma no Riddle: Shousha wa Dare? Nukiuchi Test,Special,1,1,On-Hold
Akuma Tou no Prince: Mitsume ga Tooru,Special,1,1,On-Hold
Aldnoah.Zero,TV,12,12,On-Hold
Aldnoah.Zero 2nd Season,TV,12,12,On-Hold
Alexander Senki,TV,13,13,On-Hold
Alice to Zouroku,TV,12,12,On-Hold
Alien 9,OVA,4,4,On-Hold
Alignment You! You! The Animation,OVA,2,2,On-Hold
All That Gundam,Special,1,1,On-Hold
Allargando The Animation,OVA,1,1,On-Hold
Allison to Lillia,TV,26,26,On-Hold
Amaama to Inazuma,TV,12,12,On-Hold
Amaenaide yo!!,TV,12,12,On-Hold
Amaenaide yo!! Katsu!!,TV,12,12,On-Hold
Amaenaide yo!! Katsu!!: Damasarenaide yo!!,Special,1,1,On-Hold
Amaenaide yo!!: Yasumanaide yo!!,Special,1,1,On-Hold
Amagami SS,TV,25,25,On-Hold
Amagami SS+ Plus,TV,13,13,On-Hold
Amagami SS+ Plus Picture Drama,Special,2,2,On-Hold
Amagami SS+ Plus: Extra Episode+ Plus,Special,6,6,On-Hold
Amagami SS: Tachibana Miya-hen - Imouto,Special,1,1,On-Hold
Amagi Brilliant Park,TV,13,13,On-Hold
Amagi Brilliant Park: Nonbirishiteiru Hima ga Nai!,Special,1,1,On-Hold
Amagi Brilliant Park: Wakuwaku Mini Theater - Rakugaki Backstage,Special,7,7,On-Hold
Amakano,OVA,4,4,On-Hold
Amanchu!,TV,12,12,On-Hold
Amanchu! Advance,TV,12,12,On-Hold
Amanee!: Tomodachinchi de Konna Koto ni Naru Nante!,OVA,1,1,On-Hold
Amatsuki,TV,13,13,On-Hold
Amon Saga,OVA,1,1,On-Hold
Amon: Devilman Mokushiroku,OVA,1,1,On-Hold
Anata dake Konbanwa,OVA,5,5,On-Hold
Anata no Shiranai Kangofu: Seiteki Byoutou 24 Ji,OVA,2,2,On-Hold
Anata wa Watashi no Mono,OVA,2,2,On-Hold
Andersen Douwa: Ningyohime,Movie,1,1,On-Hold
Ane Chijo?Max Heart,OVA,0,2,On-Hold
Ane Jiru 2 The Animation: Shirakawa Sanshimai ni Omakase,OVA,2,2,On-Hold
Ane Jiru The Animation: Shirakawa Sanshimai ni Omakase,OVA,2,2,On-Hold
Ane Koi: Suki Kirai Daisuki.,OVA,2,2,On-Hold
Ane Kyun!: Joshi ga Ie ni Kita!,OVA,1,1,On-Hold
Ane Log: Moyako Neesan no Honpen wo Tobidashite Tomaranai Monologue Specials,Special,3,3,On-Hold
Ane Log: Moyako Neesan no Tomaranai Monologue,OVA,3,3,On-Hold
Ane to Boin,OVA,2,2,On-Hold
Ane?Haramix,OVA,4,4,On-Hold
Aneimo,OVA,2,2,On-Hold
Aneki no Kounai Kaikinbi,OVA,1,1,On-Hold
Aneki... My Sweet Elder Sister The Animation,OVA,4,4,On-Hold
Anemone,OVA,1,0,Dropped
Ange Vierge,TV,12,12,On-Hold
Angel Beats!,TV,13,13,On-Hold
Angel Beats! Specials,Special,2,2,On-Hold
Angel Beats!: Another Epilogue,Special,1,1,On-Hold
Angel Blade,OVA,3,3,On-Hold
Angel Blade Punish!,OVA,3,3,On-Hold
Angel Cop,OVA,6,6,On-Hold
Angel Core: Tenshi-tachi no Sumika,OVA,2,2,On-Hold
Angel Heart,TV,50,50,On-Hold
Angelium,OVA,2,2,On-Hold
Angolmois: Genkou Kassenki,TV,12,12,Watching
Ani ni Tsukeru Kusuri wa Nai! 4,TV,0,0,Plan to Watch
"Aniki no Yome-san nara, Ore ni Hamerarete Hiihii Itteru Tokoro Da yo",OVA,1,1,On-Hold
Anima Yell!,TV,12,12,On-Hold
Animation Seisaku Shinkou Kuromi-chan,OVA,1,1,On-Hold
Animation Seisaku Shinkou Kuromi-chan 2,OVA,1,1,On-Hold
Aniyome,OVA,2,2,On-Hold
Aniyome wa Ijippari,OVA,2,2,On-Hold
Ano Danchi no Tsuma-tachi wa... The Animation,OVA,2,1,On-Hold
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,11,11,On-Hold
Ano Ko to Ii Koto,OVA,2,2,On-Hold
Another,TV,12,12,On-Hold
Ansatsu Kyoushitsu,TV,22,22,On-Hold
Ansatsu Kyoushitsu 2nd Season,TV,25,25,On-Hold
Ansatsu Kyoushitsu: Deai no Jikan,Special,1,1,On-Hold
Anyamal Tantei Kiruminzoo,TV,50,50,On-Hold
Ao Haru Ride,TV,12,12,On-Hold
Ao no Exorcist,TV,25,25,On-Hold
Ao no Exorcist Movie,Movie,1,1,On-Hold
Ao no Exorcist: Kuro no Iede,Special,1,1,On-Hold
Ao no Exorcist: Kyoto Fujouou-hen,TV,12,12,On-Hold
Ao no Kanata no Four Rhythm,TV,12,12,On-Hold
Aoharu x Kikanjuu,TV,12,12,On-Hold
Aoharu x Kikanjuu: Kemono-tachi no Senjou da na!,Special,1,1,On-Hold
Aoi Bungaku Series,TV,12,12,On-Hold
Aoi Hana,TV,11,11,On-Hold
Aoi Taiken,OVA,2,2,On-Hold
Aoki Hagane no Arpeggio: Ars Nova,TV,12,12,On-Hold
Aoki Hagane no Arpeggio: Ars Nova Cadenza,Movie,1,1,On-Hold
Aoki Hagane no Arpeggio: Ars Nova DC,Movie,1,1,On-Hold
Aoki Ryuusei SPT Layzner,TV,38,38,On-Hold
Aoki Ryuusei SPT Layzner OVA,OVA,3,3,On-Hold
Aozora Shoujo-tai,OVA,7,7,On-Hold
Appare-Ranman!,TV,13,3,Watching
Appleseed (Movie),Movie,1,1,On-Hold
Appleseed Alpha,Movie,1,1,On-Hold
Appleseed Saga Ex Machina,Movie,1,1,On-Hold
Appleseed XIII,OVA,13,13,On-Hold
Appleseed XIII Remix Movie 1: Yuigon,Movie,1,1,On-Hold
Appleseed XIII Remix Movie 2: Yogen,Movie,1,1,On-Hold
Aquarian Age: Saga II - Don't Forget Me...,OVA,1,1,On-Hold
Aquarian Age: Sign for Evolution,TV,13,13,On-Hold
Aquarion Evol,TV,26,26,On-Hold
Aquarion Logos,TV,26,26,On-Hold
Ar Tonelico: Sekai no Owari de Utai Tsuzukeru Shoujo,OVA,1,0,On-Hold
Araburu Kisetsu no Otome-domo yo.,TV,12,12,Watching
Arad Senki: Slap Up Party,TV,26,26,On-Hold
Aragne no Mushikago,Movie,1,0,Dropped
Araiya-san!: Ore to Aitsu ga Onnayu de!?,TV,8,8,On-Hold
Arakawa Under the Bridge,TV,13,13,On-Hold
Arakawa Under the Bridge x Bridge,TV,13,13,On-Hold
Arata naru Sekai: World's/Start/Load/End,OVA,1,1,On-Hold
Arbeit Shiyo!!,OVA,3,3,On-Hold
Arc the Lad,TV,26,26,On-Hold
Arcana Famiglia,TV,12,12,On-Hold
Arcana Famiglia: Capriccio - stile Arcana Famiglia,OVA,1,1,On-Hold
Area 88,OVA,3,3,On-Hold
Area 88 (TV),TV,12,12,On-Hold
Arei no Kagami: Way to the Virgin Space,Movie,1,1,On-Hold
Arete Hime,Movie,1,1,On-Hold
Argento Soma,TV,25,25,On-Hold
Argento Soma Special,Special,1,1,On-Hold
Argonavis from BanG Dream!,TV,13,0,Plan to Watch
Aria the Animation,TV,13,13,On-Hold
Aria the Avvenire,Special,3,3,On-Hold
Aria the Natural,TV,26,26,On-Hold
Aria the Natural: Sono Futatabi Deaeru Kiseki ni...,Special,1,1,On-Hold
Aria the Origination,TV,13,13,On-Hold
Aria the Origination Picture Drama,Special,7,7,On-Hold
Aria the Origination: Sono Choppiri Himitsu no Basho ni...,Special,1,1,On-Hold
Aria the OVA: Arietta,OVA,1,1,On-Hold
Ariel Deluxe,OVA,2,2,On-Hold
Ariel Visual,OVA,2,2,On-Hold
Arifureta Shokugyou de Sekai Saikyou,TV,13,13,On-Hold
Arion,Movie,1,1,On-Hold
Ark IX,OVA,1,1,On-Hold
Armed Blue Gunvolt,OVA,1,1,On-Hold
Armitage III,OVA,4,4,On-Hold
Armitage III: Dual-Matrix,Movie,1,1,On-Hold
Armitage III: Poly-Matrix,Movie,1,1,On-Hold
ARP Backstage Pass,TV,10,10,Watching
Arslan Senki,OVA,6,6,On-Hold
Arslan Senki (TV),TV,25,25,On-Hold
Arte,TV,12,3,Watching
Arve Rezzle: Kikaijikake no Yousei-tachi,Movie,1,1,On-Hold
Asa kara Zusshiri Milk Pot,OVA,2,2,On-Hold
Asatir: Mirai no Mukashi Banashi,TV,13,3,Watching
Asgaldh: The Distortion Testament,OVA,3,3,On-Hold
Ashita no Joe,TV,79,79,On-Hold
Ashita no Joe (Movie),Movie,1,1,On-Hold
Ashita no Joe 2,TV,47,47,On-Hold
Ashita no Joe Pilots,Special,2,2,On-Hold
Ashita no Nadja,TV,50,50,On-Hold
Ashita Sekai ga Owaru toshitemo,Movie,1,1,On-Hold
Asobi Asobase,TV,12,12,On-Hold
Asobi Asobase OVA,OVA,1,1,On-Hold
Asobi Asobase Specials,Special,2,2,On-Hold
Asobi ni Iku yo!,TV,12,12,On-Hold
Asobi ni Iku yo!: Asobi ni Oide,OVA,1,1,On-Hold
Asobi ni Iku yo!: Asobi ni Oide - Owari,Special,1,1,On-Hold
Assassins Pride,TV,12,12,Watching
Assault Lily: Bouquet,TV,0,0,Plan to Watch
Assemble Insert,OVA,2,2,On-Hold
Astarotte no Omocha!,TV,12,12,On-Hold
Astarotte no Omocha! EX,OVA,1,1,On-Hold
Asura,Movie,1,1,On-Hold
Asura Cryin',TV,13,13,On-Hold
Asura Cryin' 2,TV,13,13,On-Hold
Asylum Session,Movie,1,0,Dropped
Aterui,Movie,1,0,Dropped
Auction: Bijo Dorei,OVA,1,1,On-Hold
Aura: Maryuuin Kouga Saigo no Tatakai,Movie,1,1,On-Hold
Avenger,TV,13,13,On-Hold
Ayakashi,TV,12,12,On-Hold
Ayakashi: Japanese Classic Horror,TV,11,11,On-Hold
Ayane-chan High Kick!,OVA,2,2,On-Hold
Ayashi no Ceres,TV,24,24,On-Hold
Ayatsuri Haramase DreamNote,OVA,2,2,On-Hold
Azumanga Daioh,TV,26,26,On-Hold
Azumanga Daioh: Gekijou Tanpen,Special,1,1,On-Hold
Azur Lane,TV,12,12,Watching
?lDLIVE,TV,12,12,On-Hold
B'T X,TV,25,25,On-Hold
B'T X Neo,OVA,14,14,On-Hold
B-gata H-kei,TV,12,12,On-Hold
B.B. Fish,OVA,1,1,On-Hold
B: The Beginning,ONA,12,12,On-Hold
Babel Nisei (2001),TV,13,13,On-Hold
BaBuKa: Gokudou no Tsuma,OVA,2,2,On-Hold
Babylon,TV,12,12,On-Hold
Baccano!,TV,13,13,On-Hold
Baccano! Specials,Special,3,3,On-Hold
Back Street Girls: Gokudolls,TV,10,10,On-Hold
Bad End,OVA,2,2,On-Hold
Baka na Imouto wo Rikou ni Suru no wa Ore no xx dake na Ken ni Tsuite,OVA,4,4,On-Hold
Baka to Test to Shoukanjuu,TV,13,13,On-Hold
Baka to Test to Shoukanjuu Ni!,TV,13,13,On-Hold
Baka to Test to Shoukanjuu: Matsuri,OVA,2,2,On-Hold
Bakemono no Ko,Movie,1,1,On-Hold
Bakemonogatari,TV,15,15,On-Hold
Baki,ONA,26,26,Watching
Baki 2nd Season,ONA,13,0,Plan to Watch
Bakuen Campus Guardress,OVA,4,4,On-Hold
Bakuhatsu Sunzen!! Tenshi no Countdown,OVA,1,1,On-Hold
Bakuman.,TV,25,25,On-Hold
Bakuman. 2nd Season,TV,25,25,On-Hold
Bakuman. 3rd Season,TV,25,25,On-Hold
Bakumatsu,TV,12,12,Watching
Bakumatsu: Crisis,TV,12,12,Watching
Bakunyuu Bomb,OVA,3,3,On-Hold
Bakunyuu Maid Kari,OVA,2,2,On-Hold
Bakunyuu Oyako,OVA,2,2,On-Hold
Bakunyuu Shimai,OVA,2,2,On-Hold
Bakuretsu Hunters,TV,26,26,On-Hold
Bakuretsu Hunters OVA,OVA,3,3,On-Hold
Bakuretsu Tenshi,TV,24,24,On-Hold
Baldr Force Exe Resolution,OVA,4,4,On-Hold
Ballroom e Youkoso,TV,24,24,On-Hold
Bamboo Blade,TV,26,26,On-Hold
Banana Fish,TV,24,24,On-Hold
BanG Dream!,TV,13,13,Watching
BanG Dream! 2nd Season,TV,13,13,Watching
BanG Dream! 3rd Season,TV,13,13,Watching
Bannou Bunka Neko-Musume,OVA,6,6,On-Hold
Bannou Bunka Neko-Musume (1998),TV,12,12,On-Hold
Bannou Bunka Neko-Musume DASH!,OVA,12,12,On-Hold
Bannou Bunka Neko-Musume Specials,Special,2,2,On-Hold
Baoh Raihousha,OVA,1,1,On-Hold
Barakamon,TV,12,12,On-Hold
Barom One,TV,13,13,On-Hold
Basilisk: Kouga Ninpou Chou,TV,24,24,On-Hold
Basilisk: Ouka Ninpouchou,TV,24,24,On-Hold
Basquash!,TV,26,26,On-Hold
Bastard!!: Ankoku no Hakaishin,OVA,6,6,On-Hold
Baton,Movie,3,0,Dropped
Battery,TV,11,11,On-Hold
Battle Athletess Daiundoukai,OVA,6,6,On-Hold
Battle Athletess Daiundoukai (TV),TV,26,26,On-Hold
Battle Girl High School,TV,12,12,On-Hold
Be-yond,OVA,2,2,On-Hold
Beast Saga,TV,38,38,On-Hold
Beastars,TV,12,12,Watching
Beatless,TV,20,20,On-Hold
Beatless Final Stage,TV,4,4,On-Hold
Beck,TV,26,26,On-Hold
Beelzebub-jou no Okinimesu mama.,TV,12,12,On-Hold
Bem,TV,12,12,Watching
Ben-To,TV,12,12,On-Hold
Bermuda Triangle: Colorful Pastrale,TV,12,12,Watching
Bernard-jou Iwaku.,TV,12,12,On-Hold
Bernard-jou Iwaku.: Ofuro Dokusho,Special,1,1,On-Hold
Berserk,TV,12,12,On-Hold
Berserk 2nd Season,TV,12,12,On-Hold
Berserk: Ougon Jidai-hen I - Haou no Tamago,Movie,1,1,On-Hold
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,Movie,1,1,On-Hold
Berserk: Ougon Jidai-hen III - Kourin,Movie,1,1,On-Hold
Bessatsu Olympia Kyklos,TV,24,1,Watching
Betsu ni Anta no Tame ni Ookiku Natta n ja Nai n Dakara ne!!,OVA,1,1,On-Hold
Betterman,TV,26,26,On-Hold
Bi-chiku Beach: Nangoku Nyuujoku Satsueikai,OVA,1,1,On-Hold
Bi-Indoushi Miija: Injoku no Gakuen,OVA,2,2,On-Hold
Bible Black,OVA,6,6,On-Hold
Bible Black Gaiden,OVA,2,2,On-Hold
Bible Black: New Testament,OVA,6,6,On-Hold
Big Order (TV),TV,10,10,On-Hold
Bihada Ichizoku,TV,12,12,On-Hold
Bijukubo,OVA,2,2,On-Hold
Bikyaku Seido Kaichou Ai,OVA,1,1,On-Hold
Binbougami ga!,TV,13,13,On-Hold
Binetsu Hime: Zange no Shou,OVA,1,1,On-Hold
Binetsu Shoukougun,OVA,2,2,On-Hold
Binetsukko ?37? The Animation,OVA,2,2,On-Hold
Binzume Yousei,TV,13,13,On-Hold
Bio Hunter,OVA,1,1,On-Hold
Biohazard: Degeneration,Movie,1,0,Dropped
Birth,OVA,1,1,On-Hold
Bishoujo Senshi Sailor Moon,TV,46,46,On-Hold
Bishoujo Senshi Sailor Moon Crystal,ONA,26,26,On-Hold
Bishoujo Senshi Sailor Moon Crystal Season III,TV,13,13,On-Hold
Bishoujo Senshi Sailor Moon Memorial,OVA,5,5,On-Hold
Bishoujo Senshi Sailor Moon R,TV,43,43,On-Hold
Bishoujo Senshi Sailor Moon R: Make Up! Sailor Senshi,Special,1,1,On-Hold
Bishoujo Senshi Sailor Moon R: The Movie,Movie,1,1,On-Hold
Bishoujo Senshi Sailor Moon S,TV,38,38,On-Hold
Bishoujo Senshi Sailor Moon S: Kaguya-hime no Koibito,Movie,1,1,On-Hold
Bishoujo Senshi Sailor Moon SuperS,TV,39,39,On-Hold
Bishoujo Senshi Sailor Moon SuperS Gaiden: Ami-chan no Hatsukoi,Special,1,1,On-Hold
Bishoujo Senshi Sailor Moon SuperS Specials,Special,3,3,On-Hold
Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,Movie,1,1,On-Hold
Bishoujo Senshi Sailor Moon: Sailor Stars,TV,34,34,On-Hold
Bitch Gakuen ga Seijun na Hazu ga Nai!!? The Animation,OVA,2,2,On-Hold
Black Blood Brothers,TV,12,12,On-Hold
Black Bullet,TV,13,13,On-Hold
Black Cat,TV,23,23,On-Hold
Black Cat: Toozakaru Neko,Special,1,1,On-Hold
Black Clover,TV,0,72,On-Hold
Black Gate: Kanin no Gakuen,OVA,2,2,On-Hold
Black Lagoon,TV,12,12,On-Hold
Black Lagoon Omake,Special,7,7,On-Hold
Black Lagoon: Roberta's Blood Trail,OVA,5,5,On-Hold
Black Lagoon: The Second Barrage,TV,12,12,On-Hold
Black Magic M-66,OVA,1,1,On-Hold
Black?Rock Shooter (OVA),OVA,1,1,On-Hold
Black?Rock Shooter (TV),TV,8,8,On-Hold
Blade & Soul,TV,13,13,On-Hold
Blade of the Immortal,TV,13,13,On-Hold
Blade Runner: Black Out 2022,ONA,1,1,On-Hold
Blame! Movie,Movie,1,1,On-Hold
Blassreiter,TV,24,24,On-Hold
BlazBlue: Alter Memory,TV,12,12,On-Hold
BlazBlue: Alter Memory Specials,Special,6,6,On-Hold
Bleach,TV,366,366,On-Hold
Bleach Movie 1: Memories of Nobody,Movie,1,1,On-Hold
Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,Movie,1,1,On-Hold
Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,Movie,1,1,On-Hold
Bleach Movie 4: Jigoku-hen,Movie,1,1,On-Hold
Blend S,TV,12,12,On-Hold
Blood Lad,TV,10,10,On-Hold
Blood Lad: Wagahai wa Neko de wa Nai,OVA,1,1,On-Hold
Blood Royale,OVA,2,2,On-Hold
Blood+,TV,50,50,On-Hold
Blood-C,TV,12,12,On-Hold
Blood-C: The Last Dark,Movie,1,1,On-Hold
Bloods: Inraku no Ketsuzoku 2,OVA,2,2,On-Hold
Blue Drop: Tenshi-tachi no Gikyoku,TV,13,13,On-Hold
Blue Gender,TV,26,26,On-Hold
Blue Remains,Movie,1,0,Dropped
Blue Seed,TV,26,26,On-Hold
Blue Seed 2,OVA,3,3,On-Hold
Blue Seed Omake,Special,14,13,On-Hold
BNA,ONA,12,6,Watching
Bobobo-bo Bo-bobo,TV,76,76,On-Hold
Boin,OVA,2,2,On-Hold
Boku dake ga Inai Machi,TV,12,12,On-Hold
Boku no Hero Academia,TV,13,13,On-Hold
Boku no Hero Academia 2nd Season,TV,25,25,On-Hold
Boku no Hero Academia 2nd Season: Hero Note,Special,1,1,On-Hold
Boku no Hero Academia 3rd Season,TV,25,25,On-Hold
Boku no Hero Academia 4th Season,TV,25,25,Watching
Boku no Hero Academia the Movie 1: Futari no Hero,Movie,1,1,On-Hold
Boku no Kanojo ga Majimesugiru Sho-bitch na Ken,TV,10,10,On-Hold
Boku no Kanojo ga Majimesugiru Sho-bitch na Ken OVA,OVA,1,2,On-Hold
Boku no Tonari ni Ankoku Hakaishin ga Imasu.,TV,12,12,Watching
Boku no Yayoi-san,OVA,2,2,On-Hold
Boku to Misaki-sensei,OVA,1,1,On-Hold
Boku to Nurse no Kenshuu Nisshi The Animation,OVA,1,1,On-Hold
Boku to Sensei to Tomodachi no Mama,OVA,2,1,On-Hold
Boku wa Tomodachi ga Sukunai,TV,12,12,On-Hold
Boku wa Tomodachi ga Sukunai Next,TV,12,12,On-Hold
Boku wa Tomodachi ga Sukunai: Relay Shousetsu wa Ketsumatsu ga Hanpanai,OVA,1,1,On-Hold
Bokura no,TV,24,24,On-Hold
Bokura wa Minna Kawai-sou,TV,12,12,On-Hold
Bokura wa Minna Kawai-sou: Hajimete no,Special,1,1,On-Hold
Bokutachi wa Benkyou ga Dekinai,TV,13,13,Watching
Bokutachi wa Benkyou ga Dekinai!,TV,13,13,Watching
Bomberman Jetters,TV,52,52,On-Hold
Bondage Game: Shinsou no Reijoutachi,OVA,2,2,On-Hold
Boogiepop wa Warawanai,TV,12,12,On-Hold
Boogiepop wa Warawanai (2019),TV,18,18,On-Hold
Boruto: Jump Festa 2016 Special,Special,1,1,On-Hold
Boruto: Naruto Next Generations,TV,0,13,On-Hold
Boruto: Naruto the Movie,Movie,1,1,On-Hold
Boruto: Naruto the Movie - Naruto ga Hokage ni Natta Hi,Special,1,1,On-Hold
Boukyaku no Senritsu,TV,24,24,On-Hold
Bounen no Xamdou,ONA,26,26,On-Hold
Bounty Dog: Getsumen no Ibu,OVA,2,2,On-Hold
Boy Meets Harem The Animation,OVA,1,1,On-Hold
Boys Be...,TV,13,13,On-Hold
Brain Powerd,TV,26,26,On-Hold
Brandish,OVA,2,2,On-Hold
Brave Witches,TV,12,12,On-Hold
Break Blade,TV,12,12,On-Hold
Break Blade 1: Kakusei no Toki,Movie,1,1,On-Hold
Break Blade 2: Ketsubetsu no Michi,Movie,1,1,On-Hold
Break Blade 3: Kyoujin no Ato,Movie,1,1,On-Hold
Break Blade 4: Sanka no Chi,Movie,1,1,On-Hold
Break Blade 5: Shisen no Hate,Movie,1,1,On-Hold
Break Blade 6: Doukoku no Toride,Movie,1,1,On-Hold
Break Blade Picture Drama,Special,6,6,On-Hold
Break Blade: Virgins War,Special,1,1,On-Hold
Breakers,TV,16,0,Plan to Watch
Brigadoon: Marin to Melan,TV,26,26,On-Hold
Btooom!,TV,12,12,On-Hold
Bubblegum Crash,OVA,3,3,On-Hold
Bubblegum Crisis,OVA,8,8,On-Hold
Bubblegum Crisis Tokyo 2040,TV,26,26,On-Hold
Bubuki Buranki,TV,12,12,On-Hold
Bubuki Buranki: Hoshi no Kyojin,TV,12,12,On-Hold
Buddy Complex,TV,13,13,On-Hold
